Number of cells = 100
CFL = 8.000000e-01
a = 1.000000e+00

L1 error = 3.321384e-02
Root mean square error = 6.237196e-02

Wall time = 9.243000e-04 seconds

              x  Numerical_solution      Exact_solution               Error
   0.000000e+00        1.829797e-04        7.811489e-07        1.821985e-04
   1.000000e-02        3.128652e-04        1.963808e-06        3.109014e-04
   2.000000e-02        5.258122e-04        4.785117e-06        5.210270e-04
   3.000000e-02        8.685753e-04        1.130094e-05        8.572744e-04
   4.000000e-02        1.410160e-03        2.586810e-05        1.384292e-03
   5.000000e-02        2.250048e-03        5.739089e-05        2.192658e-03
   6.000000e-02        3.528208e-03        1.234098e-04        3.404798e-03
   7.000000e-02        5.436639e-03        2.572081e-04        5.179431e-03
   8.000000e-02        8.231808e-03        5.195747e-04        7.712233e-03
   9.000000e-02        1.224678e-02        1.017278e-03        1.122950e-02
   1.000000e-01        1.790127e-02        1.930454e-03        1.597081e-02
   1.100000e-01        2.570710e-02        3.550649e-03        2.215645e-02
   1.200000e-01        3.626617e-02        6.329715e-03        2.993646e-02
   1.300000e-01        5.025755e-02        1.093677e-02        3.932079e-02
   1.400000e-01        6.841051e-02        1.831564e-02        5.009487e-02
   1.500000e-01        9.146116e-02        2.972922e-02        6.173194e-02
   1.600000e-01        1.200917e-01        4.677062e-02        7.332106e-02
   1.700000e-01        1.548535e-01        7.131668e-02        8.353683e-02
   1.800000e-01        1.960786e-01        1.053992e-01        9.067935e-02
   1.900000e-01        2.437860e-01        1.509774e-01        9.280857e-02
   2.000000e-01        2.975945e-01        2.096114e-01        8.798316e-02
   2.100000e-01        3.566534e-01        2.820630e-01        7.459049e-02
   2.200000e-01        4.196046e-01        3.678794e-01        5.172515e-02
   2.300000e-01        4.845885e-01        4.650432e-01        1.954527e-02
   2.400000e-01        5.493019e-01        5.697828e-01       -2.048090e-02
   2.500000e-01        6.111110e-01        6.766338e-01       -6.552284e-02
   2.600000e-01        6.672142e-01        7.788008e-01       -1.115866e-01
   2.700000e-01        7.148442e-01        8.688151e-01       -1.539708e-01
   2.800000e-01        7.514894e-01        9.394131e-01       -1.879237e-01
   2.900000e-01        7.751102e-01        9.844964e-01       -2.093862e-01
   3.000000e-01        7.843259e-01        1.000000e+00       -2.156741e-01
   3.100000e-01        7.785477e-01        9.844964e-01       -2.059488e-01
   3.200000e-01        7.580395e-01        9.394131e-01       -1.813736e-01
   3.300000e-01        7.238999e-01        8.688151e-01       -1.449152e-01
   3.400000e-01        6.779643e-01        7.788008e-01       -1.008365e-01
   3.500000e-01        6.226413e-01        6.766338e-01       -5.399252e-02
   3.600000e-01        5.607027e-01        5.697828e-01       -9.080172e-03
   3.700000e-01        4.950524e-01        4.650432e-01        3.000917e-02
   3.800000e-01        4.285025e-01        3.678794e-01        6.062308e-02
   3.900000e-01        3.635790e-01        2.820630e-01        8.151609e-02
   4.000000e-01        3.023755e-01        2.096114e-01        9.276407e-02
   4.100000e-01        2.464649e-01        1.509774e-01        9.548752e-02
   4.200000e-01        1.968715e-01        1.053992e-01        9.147230e-02
   4.300000e-01        1.540947e-01        7.131668e-02        8.277800e-02
   4.400000e-01        1.181754e-01        4.677062e-02        7.140473e-02
   4.500000e-01        8.878871e-02        2.972922e-02        5.905950e-02
   4.600000e-01        6.534870e-02        1.831564e-02        4.703306e-02
   4.700000e-01        4.711083e-02        1.093677e-02        3.617407e-02
   4.800000e-01        3.326330e-02        6.329715e-03        2.693359e-02
   4.900000e-01        2.299992e-02        3.550649e-03        1.944927e-02
   5.000000e-01        1.557253e-02        1.930454e-03        1.364207e-02
   5.100000e-01        1.032330e-02        1.017278e-03        9.306026e-03
   5.200000e-01        6.699769e-03        5.195747e-04        6.180194e-03
   5.300000e-01        4.256345e-03        2.572081e-04        3.999137e-03
   5.400000e-01        2.646696e-03        1.234098e-04        2.523286e-03
   5.500000e-01        1.610702e-03        5.739089e-05        1.553311e-03
   5.600000e-01        9.592322e-04        2.586810e-05        9.333641e-04
   5.700000e-01        5.589634e-04        1.130094e-05        5.476624e-04
   5.800000e-01        3.186742e-04        4.785117e-06        3.138891e-04
   5.900000e-01        1.777327e-04        1.963808e-06        1.757689e-04
   6.000000e-01        9.696109e-05        7.811489e-07        9.617994e-05
   6.100000e-01        5.173561e-05        3.011597e-07        5.143445e-05
   6.200000e-01        2.699579e-05        1.125352e-07        2.688326e-05
   6.300000e-01        1.377428e-05        4.075754e-08        1.373352e-05
   6.400000e-01        6.871638e-06        1.430724e-08        6.857331e-06
   6.500000e-01        3.351366e-06        4.867794e-09        3.346498e-06
   6.600000e-01        1.597737e-06        1.605228e-09        1.596132e-06
   6.700000e-01        7.444962e-07        5.130617e-10        7.439832e-07
   6.800000e-01        3.390351e-07        1.589391e-10        3.388761e-07
   6.900000e-01        1.508701e-07        4.772217e-11        1.508224e-07
   7.000000e-01        6.559786e-08        1.388794e-11        6.558397e-08
   7.100000e-01        2.786476e-08        3.917274e-12        2.786085e-08
   7.200000e-01        1.156251e-08        1.070923e-12        1.156144e-08
   7.300000e-01        4.686353e-09        2.837664e-13        4.686069e-09
   7.400000e-01        1.855176e-09        7.287724e-14        1.855103e-09
   7.500000e-01        7.175951e-10        1.814058e-14        7.175770e-10
   7.600000e-01        2.722577e-10        4.376619e-15        2.722534e-10
   7.700000e-01        1.042909e-10        1.023421e-15        1.042899e-10
   7.800000e-01        4.832578e-11        2.319523e-16        4.832555e-11
   7.900000e-01        4.567559e-11        5.095315e-17        4.567554e-11
   8.000000e-01        8.999391e-11        1.084855e-17        8.999390e-11
   8.100000e-01        2.179351e-10        2.238725e-18        2.179351e-10
   8.200000e-01        5.344580e-10        4.477732e-19        5.344580e-10
   8.300000e-01        1.286579e-09        8.680480e-20        1.286579e-09
   8.400000e-01        3.028814e-09        1.631014e-20        3.028814e-09
   8.500000e-01        6.973302e-09        2.970297e-21        6.973302e-09
   8.600000e-01        1.570977e-08        5.242886e-22        1.570977e-08
   8.700000e-01        3.465208e-08        8.969520e-23        3.465208e-08
   8.800000e-01        7.488179e-08        1.487292e-23        7.488179e-08
   8.900000e-01        1.586199e-07        2.390296e-24        1.586199e-07
   9.000000e-01        3.295366e-07        3.723363e-25        3.295366e-07
   9.100000e-01        6.717724e-07        5.621438e-26        6.717724e-07
   9.200000e-01        1.344300e-06        8.225981e-27        1.344300e-06
   9.300000e-01        2.641691e-06        1.166692e-27        2.641691e-06
   9.400000e-01        5.099269e-06        1.603811e-28        5.099269e-06
