# Number of cells = 1600
# CFL = 8.000000e-01
# a = 1.000000e+00
# L1 error = 2.629423e-03
# Root mean square error = 5.228718e-03
# Wall time = 4.149100e-02 seconds

VARIABLES = "x" "Numerical_solution" "Exact_solution" "Error"
ZONE I=1600, F=POINT
0.000000e+00 1.116863e-06 7.811489e-07 3.357138e-07
6.250000e-04 1.198265e-06 8.282363e-07 3.700288e-07
1.250000e-03 1.284170e-06 8.780550e-07 4.061149e-07
1.875000e-03 1.374765e-06 9.307566e-07 4.440084e-07
2.500000e-03 1.470248e-06 9.865009e-07 4.837471e-07
3.125000e-03 1.570828e-06 1.045456e-06 5.253720e-07
3.750000e-03 1.676726e-06 1.107800e-06 5.689268e-07
4.375000e-03 1.788177e-06 1.173718e-06 6.144591e-07
5.000000e-03 1.905427e-06 1.243406e-06 6.620211e-07
5.625000e-03 2.028741e-06 1.317071e-06 7.116694e-07
6.250000e-03 2.158397e-06 1.394930e-06 7.634665e-07
6.875000e-03 2.294692e-06 1.477212e-06 8.174803e-07
7.500000e-03 2.437942e-06 1.564156e-06 8.737854e-07
8.125000e-03 2.588479e-06 1.656015e-06 9.324633e-07
8.750000e-03 2.746658e-06 1.753055e-06 9.936027e-07
9.375000e-03 2.912855e-06 1.855555e-06 1.057300e-06
1.000000e-02 3.087467e-06 1.963808e-06 1.123659e-06
1.062500e-02 3.270916e-06 2.078123e-06 1.192793e-06
1.125000e-02 3.463647e-06 2.198824e-06 1.264823e-06
1.187500e-02 3.666131e-06 2.326251e-06 1.339879e-06
1.250000e-02 3.878864e-06 2.460763e-06 1.418101e-06
1.312500e-02 4.102371e-06 2.602735e-06 1.499636e-06
1.375000e-02 4.337205e-06 2.752562e-06 1.584643e-06
1.437500e-02 4.583948e-06 2.910658e-06 1.673290e-06
1.500000e-02 4.843211e-06 3.077459e-06 1.765752e-06
1.562500e-02 5.115639e-06 3.253422e-06 1.862217e-06
1.625000e-02 5.401908e-06 3.439026e-06 1.962882e-06
1.687500e-02 5.702728e-06 3.634775e-06 2.067953e-06
1.750000e-02 6.018843e-06 3.841197e-06 2.177647e-06
1.812500e-02 6.351036e-06 4.058846e-06 2.292190e-06
1.875000e-02 6.700125e-06 4.288304e-06 2.411820e-06
1.937500e-02 7.066966e-06 4.530182e-06 2.536784e-06
2.000000e-02 7.452458e-06 4.785117e-06 2.667340e-06
2.062500e-02 7.857540e-06 5.053783e-06 2.803757e-06
2.125000e-02 8.283195e-06 5.336881e-06 2.946314e-06
2.187500e-02 8.730451e-06 5.635150e-06 3.095301e-06
2.250000e-02 9.200382e-06 5.949362e-06 3.251020e-06
2.312500e-02 9.694112e-06 6.280328e-06 3.413785e-06
2.375000e-02 1.021282e-05 6.628896e-06 3.583919e-06
2.437500e-02 1.075772e-05 6.995956e-06 3.761762e-06
2.500000e-02 1.133010e-05 7.382441e-06 3.947662e-06
2.562500e-02 1.193131e-05 7.789325e-06 4.141982e-06
2.625000e-02 1.256273e-05 8.217632e-06 4.345097e-06
2.687500e-02 1.322583e-05 8.668431e-06 4.557396e-06
2.750000e-02 1.392213e-05 9.142844e-06 4.779285e-06
2.812500e-02 1.465322e-05 9.642044e-06 5.011179e-06
2.875000e-02 1.542077e-05 1.016726e-05 5.253514e-06
2.937500e-02 1.622651e-05 1.071977e-05 5.506736e-06
3.000000e-02 1.707225e-05 1.130094e-05 5.771313e-06
3.062500e-02 1.795987e-05 1.191215e-05 6.047724e-06
3.125000e-02 1.889136e-05 1.255489e-05 6.336470e-06
3.187500e-02 1.986876e-05 1.323069e-05 6.638068e-06
3.250000e-02 2.089422e-05 1.394117e-05 6.953052e-06
3.312500e-02 2.196999e-05 1.468801e-05 7.281979e-06
3.375000e-02 2.309839e-05 1.547297e-05 7.625422e-06
3.437500e-02 2.428186e-05 1.629789e-05 7.983978e-06
3.500000e-02 2.552295e-05 1.716469e-05 8.358263e-06
3.562500e-02 2.682430e-05 1.807539e-05 8.748915e-06
3.625000e-02 2.818867e-05 1.903208e-05 9.156596e-06
3.687500e-02 2.961895e-05 2.003696e-05 9.581992e-06
3.750000e-02 3.111813e-05 2.109232e-05 1.002581e-05
3.812500e-02 3.268935e-05 2.220056e-05 1.048879e-05
3.875000e-02 3.433585e-05 2.336418e-05 1.097168e-05
3.937500e-02 3.606106e-05 2.458578e-05 1.147528e-05
4.000000e-02 3.786849e-05 2.586810e-05 1.200039e-05
4.062500e-02 3.976184e-05 2.721398e-05 1.254786e-05
4.125000e-02 4.174495e-05 2.862639e-05 1.311857e-05
4.187500e-02 4.382183e-05 3.010842e-05 1.371340e-05
4.250000e-02 4.599663e-05 3.166332e-05 1.433331e-05
4.312500e-02 4.827369e-05 3.329446e-05 1.497924e-05
4.375000e-02 5.065754e-05 3.500535e-05 1.565219e-05
4.437500e-02 5.315286e-05 3.679966e-05 1.635320e-05
4.500000e-02 5.576455e-05 3.868122e-05 1.708333e-05
4.562500e-02 5.849770e-05 4.065403e-05 1.784367e-05
4.625000e-02 6.135761e-05 4.272224e-05 1.863537e-05
4.687500e-02 6.434979e-05 4.489018e-05 1.945961e-05
4.750000e-02 6.747996e-05 4.716238e-05 2.031758e-05
4.812500e-02 7.075409e-05 4.954354e-05 2.121055e-05
4.875000e-02 7.417837e-05 5.203857e-05 2.213980e-05
4.937500e-02 7.775925e-05 5.465258e-05 2.310667e-05
5.000000e-02 8.150343e-05 5.739089e-05 2.411254e-05
5.062500e-02 8.541787e-05 6.025904e-05 2.515883e-05
5.125000e-02 8.950981e-05 6.326281e-05 2.624700e-05
5.187500e-02 9.378677e-05 6.640820e-05 2.737856e-05
5.250000e-02 9.825655e-05 6.970148e-05 2.855507e-05
5.312500e-02 1.029273e-04 7.314914e-05 2.977815e-05
5.375000e-02 1.078074e-04 7.675796e-05 3.104943e-05
5.437500e-02 1.129056e-04 8.053499e-05 3.237063e-05
5.500000e-02 1.182311e-04 8.448756e-05 3.374351e-05
5.562500e-02 1.237932e-04 8.862330e-05 3.516988e-05
5.625000e-02 1.296018e-04 9.295015e-05 3.665161e-05
5.687500e-02 1.356669e-04 9.747634e-05 3.819061e-05
5.750000e-02 1.419993e-04 1.022105e-04 3.978886e-05
5.812500e-02 1.486098e-04 1.071614e-04 4.144840e-05
5.875000e-02 1.555098e-04 1.123385e-04 4.317132e-05
5.937500e-02 1.627111e-04 1.177513e-04 4.495978e-05
6.000000e-02 1.702258e-04 1.234098e-04 4.681599e-05
6.062500e-02 1.780667e-04 1.293245e-04 4.874224e-05
6.125000e-02 1.862469e-04 1.355061e-04 5.074086e-05
6.187500e-02 1.947801e-04 1.419658e-04 5.281427e-05
6.250000e-02 2.036803e-04 1.487153e-04 5.496494e-05
6.312500e-02 2.129622e-04 1.557667e-04 5.719542e-05
6.375000e-02 2.226409e-04 1.631326e-04 5.950832e-05
6.437500e-02 2.327322e-04 1.708259e-04 6.190633e-05
6.500000e-02 2.432524e-04 1.788602e-04 6.439220e-05
6.562500e-02 2.542182e-04 1.872495e-04 6.696876e-05
6.625000e-02 2.656472e-04 1.960083e-04 6.963892e-05
6.687500e-02 2.775575e-04 2.051518e-04 7.240566e-05
6.750000e-02 2.899677e-04 2.146957e-04 7.527204e-05
6.812500e-02 3.028973e-04 2.246561e-04 7.824119e-05
6.875000e-02 3.163662e-04 2.350499e-04 8.131634e-05
6.937500e-02 3.303953e-04 2.458945e-04 8.450077e-05
7.000000e-02 3.450060e-04 2.572081e-04 8.779788e-05
7.062500e-02 3.602205e-04 2.690094e-04 9.121112e-05
7.125000e-02 3.760619e-04 2.813178e-04 9.474404e-05
7.187500e-02 3.925538e-04 2.941535e-04 9.840028e-05
7.250000e-02 4.097209e-04 3.075373e-04 1.021836e-04
7.312500e-02 4.275885e-04 3.214908e-04 1.060977e-04
7.375000e-02 4.461830e-04 3.360364e-04 1.101466e-04
7.437500e-02 4.655314e-04 3.511972e-04 1.143342e-04
7.500000e-02 4.856619e-04 3.669972e-04 1.186647e-04
7.562500e-02 5.066034e-04 3.834613e-04 1.231421e-04
7.625000e-02 5.283858e-04 4.006150e-04 1.277708e-04
7.687500e-02 5.510402e-04 4.184850e-04 1.325552e-04
7.750000e-02 5.745984e-04 4.370987e-04 1.374997e-04
7.812500e-02 5.990934e-04 4.564846e-04 1.426088e-04
7.875000e-02 6.245593e-04 4.766721e-04 1.478872e-04
7.937500e-02 6.510314e-04 4.976917e-04 1.533397e-04
8.000000e-02 6.785458e-04 5.195747e-04 1.589711e-04
8.062500e-02 7.071400e-04 5.423536e-04 1.647864e-04
8.125000e-02 7.368527e-04 5.660622e-04 1.707906e-04
8.187500e-02 7.677238e-04 5.907350e-04 1.769888e-04
8.250000e-02 7.997944e-04 6.164079e-04 1.833864e-04
8.312500e-02 8.331069e-04 6.431181e-04 1.899887e-04
8.375000e-02 8.677050e-04 6.709038e-04 1.968012e-04
8.437500e-02 9.036339e-04 6.998046e-04 2.038293e-04
8.500000e-02 9.409400e-04 7.298611e-04 2.110789e-04
8.562500e-02 9.796714e-04 7.611158e-04 2.185556e-04
8.625000e-02 1.019877e-03 7.936119e-04 2.262654e-04
8.687500e-02 1.061609e-03 8.273945e-04 2.342141e-04
8.750000e-02 1.104918e-03 8.625098e-04 2.424080e-04
8.812500e-02 1.149859e-03 8.990057e-04 2.508531e-04
8.875000e-02 1.196487e-03 9.369315e-04 2.595558e-04
8.937500e-02 1.244861e-03 9.763381e-04 2.685225e-04
9.000000e-02 1.295038e-03 1.017278e-03 2.777597e-04
9.062500e-02 1.347079e-03 1.059805e-03 2.872739e-04
9.125000e-02 1.401047e-03 1.103975e-03 2.970719e-04
9.187500e-02 1.457006e-03 1.149846e-03 3.071604e-04
9.250000e-02 1.515023e-03 1.197476e-03 3.175464e-04
9.312500e-02 1.575164e-03 1.246927e-03 3.282369e-04
9.375000e-02 1.637501e-03 1.298262e-03 3.392389e-04
9.437500e-02 1.702105e-03 1.351546e-03 3.505597e-04
9.500000e-02 1.769051e-03 1.406844e-03 3.622066e-04
9.562500e-02 1.838413e-03 1.464226e-03 3.741868e-04
9.625000e-02 1.910271e-03 1.523763e-03 3.865080e-04
9.687500e-02 1.984705e-03 1.585527e-03 3.991776e-04
9.750000e-02 2.061797e-03 1.649593e-03 4.122034e-04
9.812500e-02 2.141632e-03 1.716039e-03 4.255930e-04
9.875000e-02 2.224297e-03 1.784942e-03 4.393543e-04
9.937500e-02 2.309881e-03 1.856386e-03 4.534952e-04
1.000000e-01 2.398478e-03 1.930454e-03 4.680236e-04
1.006250e-01 2.490180e-03 2.007232e-03 4.829477e-04
1.012500e-01 2.585085e-03 2.086809e-03 4.982756e-04
1.018750e-01 2.683291e-03 2.169276e-03 5.140154e-04
1.025000e-01 2.784902e-03 2.254727e-03 5.301755e-04
1.031250e-01 2.890021e-03 2.343257e-03 5.467641e-04
1.037500e-01 2.998756e-03 2.434967e-03 5.637897e-04
1.043750e-01 3.111217e-03 2.529956e-03 5.812608e-04
1.050000e-01 3.227517e-03 2.628331e-03 5.991857e-04
1.056250e-01 3.347771e-03 2.730197e-03 6.175732e-04
1.062500e-01 3.472097e-03 2.835666e-03 6.364316e-04
1.068750e-01 3.600619e-03 2.944849e-03 6.557698e-04
1.075000e-01 3.733459e-03 3.057863e-03 6.755964e-04
1.081250e-01 3.870746e-03 3.174826e-03 6.959200e-04
1.087500e-01 4.012610e-03 3.295861e-03 7.167494e-04
1.093750e-01 4.159185e-03 3.421092e-03 7.380932e-04
1.100000e-01 4.310609e-03 3.550649e-03 7.599604e-04
1.106250e-01 4.467021e-03 3.684661e-03 7.823595e-04
1.112500e-01 4.628565e-03 3.823265e-03 8.052994e-04
1.118750e-01 4.795388e-03 3.966599e-03 8.287888e-04
1.125000e-01 4.967641e-03 4.114804e-03 8.528365e-04
1.131250e-01 5.145476e-03 4.268025e-03 8.774511e-04
1.137500e-01 5.329053e-03 4.426412e-03 9.026414e-04
1.143750e-01 5.518531e-03 4.590115e-03 9.284159e-04
1.150000e-01 5.714076e-03 4.759293e-03 9.547834e-04
1.156250e-01 5.915855e-03 4.934103e-03 9.817524e-04
1.162500e-01 6.124040e-03 5.114709e-03 1.009331e-03
1.168750e-01 6.338808e-03 5.301279e-03 1.037529e-03
1.175000e-01 6.560337e-03 5.493984e-03 1.066353e-03
1.181250e-01 6.788811e-03 5.692999e-03 1.095812e-03
1.187500e-01 7.024418e-03 5.898503e-03 1.125914e-03
1.193750e-01 7.267348e-03 6.110680e-03 1.156668e-03
1.200000e-01 7.517797e-03 6.329715e-03 1.188081e-03
1.206250e-01 7.775964e-03 6.555802e-03 1.220162e-03
1.212500e-01 8.042052e-03 6.789136e-03 1.252917e-03
1.218750e-01 8.316270e-03 7.029916e-03 1.286354e-03
1.225000e-01 8.598829e-03 7.278347e-03 1.320482e-03
1.231250e-01 8.889944e-03 7.534637e-03 1.355307e-03
1.237500e-01 9.189836e-03 7.799000e-03 1.390836e-03
1.243750e-01 9.498729e-03 8.071653e-03 1.427076e-03
1.250000e-01 9.816853e-03 8.352819e-03 1.464034e-03
1.256250e-01 1.014444e-02 8.642723e-03 1.501717e-03
1.262500e-01 1.048173e-02 8.941597e-03 1.540130e-03
1.268750e-01 1.082896e-02 9.249678e-03 1.579280e-03
1.275000e-01 1.118638e-02 9.567206e-03 1.619173e-03
1.281250e-01 1.155424e-02 9.894426e-03 1.659813e-03
1.287500e-01 1.193280e-02 1.023159e-02 1.701208e-03
1.293750e-01 1.232231e-02 1.057895e-02 1.743360e-03
1.300000e-01 1.272304e-02 1.093677e-02 1.786276e-03
1.306250e-01 1.313527e-02 1.130531e-02 1.829960e-03
1.312500e-01 1.355926e-02 1.168484e-02 1.874415e-03
1.318750e-01 1.399529e-02 1.207564e-02 1.919645e-03
1.325000e-01 1.444364e-02 1.247799e-02 1.965655e-03
